Trinity_ID	Library_178	Library_359	Library_463	cluster	V2	uniprot_acc_ID	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	Entry.name	Status	Protein.names	Geme.names	Organism	Length	Gene.ontology.biological.process	Gene.ontology.cellular.component	Gene.ontology.GO	Gene.ontology.molecular.function	Gene.ontology.IDs
TRINITY_DN8450_c0_g1_i2	39	31	0	3	sp	P97760	RPB3_MOUSE	70	217	65	0	122	772	1	217	7.90E-90	331.6	RPB3_MOUSE	reviewed	DNA-directed RNA polymerase II subunit RPB3 (RNA polymerase II subunit 3) (RNA polymerase II subunit B3) (DNA-directed RNA polymerase II 33 kDa polypeptide) (RPB33) (DNA-directed RNA polymerase II subunit C) (RPB31)	Polr2c Rpo2-3	Mus musculus (Mouse)	275	transcription by RNA polymerase II [GO:0006366]	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]; transcription by RNA polymerase II [GO:0006366]"	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]	GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0005737; GO:0005829; GO:0006366; GO:0015630; GO:0046983
TRINITY_DN1688_c1_g1_i8	716	423	0	3	sp	O15514	RPB4_HUMAN	73	141	36	1	426	848	4	142	6.30E-47	189.9	RPB4_HUMAN	reviewed	DNA-directed RNA polymerase II subunit RPB4 (RNA polymerase II subunit B4) (DNA-directed RNA polymerase II subunit D) (RNA polymerase II 16 kDa subunit) (RPB16)	POLR2D	Homo sapiens (Human)	142	"7-methylguanosine mRNA capping [GO:0006370]; fibroblast growth factor receptor signaling pathway [GO:0008543]; mRNA export from nucleus in response to heat stress [GO:0031990]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of translational initiation [GO:0045948]; positive regulation of viral transcription [GO:0050434]; recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex [GO:0034402]; regulation of gene silencing by miRNA [GO:0060964]; RNA metabolic process [GO:0016070]; snRNA transcription by RNA polymerase II [GO:0042795]; somatic stem cell population maintenance [GO:0035019]; transcription, DNA-templated [GO:0006351]; transcription by RNA polymerase II [GO:0006366]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]"	"cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; RNA polymerase II, core complex [GO:0005665]"	"cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; RNA polymerase II, core complex [GO:0005665]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleotide binding [GO:0000166]; translation initiation factor binding [GO:0031369]; 7-methylguanosine mRNA capping [GO:0006370]; fibroblast growth factor receptor signaling pathway [GO:0008543]; mRNA export from nucleus in response to heat stress [GO:0031990]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of translational initiation [GO:0045948]; positive regulation of viral transcription [GO:0050434]; recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex [GO:0034402]; regulation of gene silencing by miRNA [GO:0060964]; RNA metabolic process [GO:0016070]; snRNA transcription by RNA polymerase II [GO:0042795]; somatic stem cell population maintenance [GO:0035019]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]; transcription, DNA-templated [GO:0006351]; transcription-coupled nucleotide-excision repair [GO:0006283]"	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleotide binding [GO:0000166]; translation initiation factor binding [GO:0031369]	GO:0000166; GO:0000288; GO:0000398; GO:0000932; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0005829; GO:0006283; GO:0006351; GO:0006366; GO:0006367; GO:0006368; GO:0006370; GO:0008543; GO:0016070; GO:0016607; GO:0031369; GO:0031990; GO:0034402; GO:0035019; GO:0042795; GO:0045948; GO:0050434; GO:0060964
TRINITY_DN472_c1_g1_i18	204	111	47	3	sp	Q9VVS4	MED11_DROME	57.8	109	46	0	191	517	2	110	1.70E-27	126.3	MED11_DROME	reviewed	Mediator of RNA polymerase II transcription subunit 11 (Mediator complex subunit 11) (dMED21)	MED11 Med21 CG6884	Drosophila melanogaster (Fruit fly)	176	regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]	mediator complex [GO:0016592]; nucleus [GO:0005634]	mediator complex [GO:0016592]; nucleus [GO:0005634]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]	transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]	GO:0003712; GO:0003713; GO:0005634; GO:0006357; GO:0006366; GO:0016592
TRINITY_DN17507_c0_g1_i8	142	72	0	3	sp	Q03468	ERCC6_HUMAN	60.4	371	139	3	1868	2974	453	817	6.40E-132	473.4	ERCC6_HUMAN	reviewed	DNA excision repair protein ERCC-6 (EC 3.6.4.-) (ATP-dependent helicase ERCC6) (Cockayne syndrome protein CSB)	ERCC6 CSB	Homo sapiens (Human)	1493	"activation of JNKK activity [GO:0007256]; activation of JUN kinase activity [GO:0007257]; ATP-dependent chromatin remodeling [GO:0043044]; base-excision repair [GO:0006284]; DNA damage checkpoint [GO:0000077]; DNA duplex unwinding [GO:0032508]; DNA repair [GO:0006281]; double-strand break repair via classical nonhomologous end joining [GO:0097680]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; multicellular organism growth [GO:0035264]; negative regulation of double-strand break repair via nonhomologous end joining [GO:2001033]; neurogenesis [GO:0022008]; neuron differentiation [GO:0030182]; neuron projection development [GO:0031175]; photoreceptor cell maintenance [GO:0045494]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of gene expression, epigenetic [GO:0045815]; positive regulation of transcription initiation from RNA polymerase II promoter [GO:0060261]; pyrimidine dimer repair [GO:0006290]; regulation of DNA-templated transcription, elongation [GO:0032784]; response to gamma radiation [GO:0010332]; response to oxidative stress [GO:0006979]; response to superoxide [GO:0000303]; response to toxic substance [GO:0009636]; response to UV [GO:0009411]; response to UV-B [GO:0010224]; response to X-ray [GO:0010165]; single strand break repair [GO:0000012]; transcription by RNA polymerase II [GO:0006366]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription elongation from RNA polymerase I promoter [GO:0006362]"	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of DNA damage [GO:0090734]; transcription elongation factor complex [GO:0008023]	"nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of DNA damage [GO:0090734]; transcription elongation factor complex [GO:0008023]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-dependent ATPase activity [GO:0008094]; helicase activity [GO:0004386]; protein C-terminus binding [GO:0008022]; protein N-terminus binding [GO:0047485]; protein tyrosine kinase activator activity [GO:0030296]; protein-containing complex binding [GO:0044877]; RNA polymerase binding [GO:0070063]; activation of JNKK activity [GO:0007256]; activation of JUN kinase activity [GO:0007257]; ATP-dependent chromatin remodeling [GO:0043044]; base-excision repair [GO:0006284]; DNA damage checkpoint [GO:0000077]; DNA duplex unwinding [GO:0032508]; DNA repair [GO:0006281]; double-strand break repair via classical nonhomologous end joining [GO:0097680]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; multicellular organism growth [GO:0035264]; negative regulation of double-strand break repair via nonhomologous end joining [GO:2001033]; neurogenesis [GO:0022008]; neuron differentiation [GO:0030182]; neuron projection development [GO:0031175]; photoreceptor cell maintenance [GO:0045494]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of gene expression, epigenetic [GO:0045815]; positive regulation of transcription initiation from RNA polymerase II promoter [GO:0060261]; pyrimidine dimer repair [GO:0006290]; regulation of DNA-templated transcription, elongation [GO:0032784]; response to gamma radiation [GO:0010332]; response to oxidative stress [GO:0006979]; response to superoxide [GO:0000303]; response to toxic substance [GO:0009636]; response to UV [GO:0009411]; response to UV-B [GO:0010224]; response to X-ray [GO:0010165]; single strand break repair [GO:0000012]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase I promoter [GO:0006362]; transcription-coupled nucleotide-excision repair [GO:0006283]"	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-dependent ATPase activity [GO:0008094]; helicase activity [GO:0004386]; protein-containing complex binding [GO:0044877]; protein C-terminus binding [GO:0008022]; protein N-terminus binding [GO:0047485]; protein tyrosine kinase activator activity [GO:0030296]; RNA polymerase binding [GO:0070063]	GO:0000012; GO:0000077; GO:0000303; GO:0003677; GO:0003682; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0006281; GO:0006283; GO:0006284; GO:0006290; GO:0006362; GO:0006366; GO:0006979; GO:0007256; GO:0007257; GO:0008022; GO:0008023; GO:0008094; GO:0008630; GO:0009411; GO:0009636; GO:0010165; GO:0010224; GO:0010332; GO:0022008; GO:0030182; GO:0030296; GO:0031175; GO:0032508; GO:0032784; GO:0032786; GO:0035264; GO:0043044; GO:0044877; GO:0045494; GO:0045739; GO:0045815; GO:0047485; GO:0060261; GO:0070063; GO:0090734; GO:0097680; GO:1905168; GO:2001033
TRINITY_DN19065_c0_g2_i3	234	134	0	3	sp	P36958	RPB9_DROME	81.5	119	22	0	166	522	11	129	4.40E-58	228	RPB9_DROME	reviewed	DNA-directed RNA polymerase II subunit RPB9 (RNA polymerase II subunit B9) (DNA-directed RNA polymerase II 15.1 kDa polypeptide)	RpII15 CG3284	Drosophila melanogaster (Fruit fly)	129	maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter [GO:0001193]; mitotic cell cycle [GO:0000278]; mRNA cleavage [GO:0006379]; transcription by RNA polymerase II [GO:0006366]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription initiation from RNA polymerase II promoter [GO:0006367]	"nucleolus [GO:0005730]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]"	"nucleolus [GO:0005730]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter [GO:0001193]; mitotic cell cycle [GO:0000278]; mRNA cleavage [GO:0006379]; transcription by RNA polymerase II [GO:0006366]; transcription initiation from RNA polymerase II promoter [GO:0006367]; transcription-coupled nucleotide-excision repair [GO:0006283]"	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0000278; GO:0001193; GO:0003676; GO:0003899; GO:0005634; GO:0005665; GO:0005730; GO:0006283; GO:0006366; GO:0006367; GO:0006379; GO:0008270
TRINITY_DN15508_c2_g1_i2	882	731	41	3	sp	Q5E9B8	RPB7_BOVIN	84.3	172	27	0	262	777	1	172	3.30E-84	313.2	RPB7_BOVIN	reviewed	DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (DNA-directed RNA polymerase II subunit G)	POLR2G	Bos taurus (Bovine)	172	"nuclear-transcribed mRNA catabolic process, exonucleolytic [GO:0000291]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; positive regulation of translational initiation [GO:0045948]; transcription by RNA polymerase II [GO:0006366]; transcription initiation from RNA polymerase II promoter [GO:0006367]"	"nucleus [GO:0005634]; P-body [GO:0000932]; RNA polymerase II, core complex [GO:0005665]"	"nucleus [GO:0005634]; P-body [GO:0000932]; RNA polymerase II, core complex [GO:0005665]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; translation initiation factor binding [GO:0031369]; nuclear-transcribed mRNA catabolic process, exonucleolytic [GO:0000291]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; positive regulation of translational initiation [GO:0045948]; transcription by RNA polymerase II [GO:0006366]; transcription initiation from RNA polymerase II promoter [GO:0006367]"	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; translation initiation factor binding [GO:0031369]	GO:0000291; GO:0000932; GO:0003697; GO:0003727; GO:0003899; GO:0005634; GO:0005665; GO:0006366; GO:0006367; GO:0031369; GO:0045948; GO:0060213
TRINITY_DN11278_c0_g1_i2	179	134	0	3	sp	Q148M7	TAF13_BOVIN	71.1	121	30	1	152	514	7	122	6.70E-41	169.1	TAF13_BOVIN	reviewed	Transcription initiation factor TFIID subunit 13 (Transcription initiation factor TFIID 18 kDa subunit) (TAF(II)18) (TAFII-18) (TAFII18)	TAF13	Bos taurus (Bovine)	124	regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]	transcription factor TFIID complex [GO:0005669]	transcription factor TFIID complex [GO:0005669]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; transcription coregulator activity [GO:0003712]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; transcription coregulator activity [GO:0003712]	GO:0003677; GO:0003712; GO:0005669; GO:0006357; GO:0006366; GO:0046982
TRINITY_DN5216_c0_g1_i1	73	53	0	3	sp	O75909	CCNK_HUMAN	65.4	240	82	1	161	880	24	262	5.80E-97	356.7	CCNK_HUMAN	reviewed	Cyclin-K	CCNK CPR4	Homo sapiens (Human)	580	"cell cycle [GO:0007049]; cell division [GO:0051301]; cellular response to DNA damage stimulus [GO:0006974]; negative regulation by host of viral genome replication [GO:0044828]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues [GO:2001165]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of transcription by RNA polymerase II [GO:0006357]; snRNA transcription by RNA polymerase II [GO:0042795]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]"	cyclin/CDK positive transcription elongation factor complex [GO:0008024]; cyclin K-CDK12 complex [GO:0002944]; cyclin K-CDK13 complex [GO:0002945]; host cell nucleus [GO:0042025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	"cyclin K-CDK12 complex [GO:0002944]; cyclin K-CDK13 complex [GO:0002945]; cyclin/CDK positive transcription elongation factor complex [GO:0008024]; host cell nucleus [GO:0042025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; cyclin-dependent protein serine/threonine kinase activator activity [GO:0061575]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; cell cycle [GO:0007049]; cell division [GO:0051301]; cellular response to DNA damage stimulus [GO:0006974]; negative regulation by host of viral genome replication [GO:0044828]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues [GO:2001165]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of transcription by RNA polymerase II [GO:0006357]; snRNA transcription by RNA polymerase II [GO:0042795]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase II promoter [GO:0006368]"	cyclin-dependent protein serine/threonine kinase activator activity [GO:0061575]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]	GO:0000079; GO:0002944; GO:0002945; GO:0004693; GO:0005634; GO:0005654; GO:0006357; GO:0006366; GO:0006368; GO:0006974; GO:0007049; GO:0008024; GO:0008353; GO:0016538; GO:0019901; GO:0032786; GO:0042025; GO:0042795; GO:0044828; GO:0045944; GO:0051301; GO:0061575; GO:2001165
TRINITY_DN12460_c1_g1_i1	2165	1388	1	3	sp	P52434	RPAB3_HUMAN	79.5	151	30	1	156	608	1	150	3.10E-65	250	RPAB3_HUMAN	reviewed	"DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (DNA-directed RNA polymerase II subunit H) (DNA-directed RNA polymerases I, II, and III 17.1 kDa polypeptide) (RPB17) (RPB8 homolog) (hRPB8)"	POLR2H	Homo sapiens (Human)	150	"7-methylguanosine mRNA capping [GO:0006370]; fibroblast growth factor receptor signaling pathway [GO:0008543]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of gene expression, epigenetic [GO:0045815]; positive regulation of type I interferon production [GO:0032481]; positive regulation of viral transcription [GO:0050434]; regulation of gene silencing by miRNA [GO:0060964]; RNA metabolic process [GO:0016070]; snRNA transcription by RNA polymerase II [GO:0042795]; somatic stem cell population maintenance [GO:0035019]; termination of RNA polymerase I transcription [GO:0006363]; transcription, DNA-templated [GO:0006351]; transcription by RNA polymerase II [GO:0006366]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription elongation from RNA polymerase I promoter [GO:0006362]; transcription initiation from RNA polymerase II promoter [GO:0006367]; transcription initiation from RNA polymerase I promoter [GO:0006361]"	"cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-DNA complex [GO:0032993]; RNA polymerase I complex [GO:0005736]; RNA polymerase II, core complex [GO:0005665]; RNA polymerase III complex [GO:0005666]"	"cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-DNA complex [GO:0032993]; RNA polymerase I complex [GO:0005736]; RNA polymerase II, core complex [GO:0005665]; RNA polymerase III complex [GO:0005666]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; single-stranded DNA binding [GO:0003697]; 7-methylguanosine mRNA capping [GO:0006370]; fibroblast growth factor receptor signaling pathway [GO:0008543]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of gene expression, epigenetic [GO:0045815]; positive regulation of type I interferon production [GO:0032481]; positive regulation of viral transcription [GO:0050434]; regulation of gene silencing by miRNA [GO:0060964]; RNA metabolic process [GO:0016070]; snRNA transcription by RNA polymerase II [GO:0042795]; somatic stem cell population maintenance [GO:0035019]; termination of RNA polymerase I transcription [GO:0006363]; transcription by RNA polymerase II [GO:0006366]; transcription elongation from RNA polymerase I promoter [GO:0006362]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase I promoter [GO:0006361]; transcription initiation from RNA polymerase II promoter [GO:0006367]; transcription, DNA-templated [GO:0006351]; transcription-coupled nucleotide-excision repair [GO:0006283]"	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; single-stranded DNA binding [GO:0003697]	GO:0000398; GO:0003697; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0005666; GO:0005736; GO:0005829; GO:0006283; GO:0006351; GO:0006361; GO:0006362; GO:0006363; GO:0006366; GO:0006367; GO:0006368; GO:0006370; GO:0008543; GO:0016070; GO:0032481; GO:0032993; GO:0035019; GO:0042795; GO:0045815; GO:0050434; GO:0060964
TRINITY_DN15144_c0_g1_i4	344	2	0	3	sp	Q6P4R8	NFRKB_HUMAN	48.1	318	146	6	1603	2550	363	663	2.50E-78	295.8	NFRKB_HUMAN	reviewed	Nuclear factor related to kappa-B-binding protein (DNA-binding protein R kappa-B) (INO80 complex subunit G)	NFRKB INO80G	Homo sapiens (Human)	1299	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; inflammatory response [GO:0006954]; protein deubiquitination [GO:0016579]; transcription by RNA polymerase II [GO:0006366]	Ino80 complex [GO:0031011]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	Ino80 complex [GO:0031011]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protease binding [GO:0002020]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; inflammatory response [GO:0006954]; protein deubiquitination [GO:0016579]; transcription by RNA polymerase II [GO:0006366]	DNA binding [GO:0003677]; protease binding [GO:0002020]	GO:0002020; GO:0003677; GO:0005634; GO:0005654; GO:0006281; GO:0006310; GO:0006366; GO:0006954; GO:0016579; GO:0031011
