Trinity_ID	178	359	463	cluster	swissprot	uniprot_acc_ID	gene_id	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Entry.name	Status	Protein.names	Geme.names	Organism	Length	Gene.ontology.biological.process	Gene.ontology.cellular.component	Gene.ontology.GO	Gene.ontology.molecular.function	Gene.ontology.IDs
TRINITY_DN90_c1_g1_i7	30	50	0	1	sp	Q9LT78	RD21C_ARATH	41.5	313	164	8	127	1041	43	344	7.8e-59	229.6	RD21C_ARATH	reviewed	Probable cysteine protease RD21C (EC 3.4.22.-)	RD21C At3g19390 MLD14.12	Arabidopsis thaliana (Mouse-ear cress)	452	proteolysis involved in cellular protein catabolic process [GO:0051603]	extracellular space [GO:0005615]; lysosome [GO:0005764]	extracellular space [GO:0005615]; lysosome [GO:0005764]; cysteine-type endopeptidase activity [GO:0004197]; proteolysis involved in cellular protein catabolic process [GO:0051603]	cysteine-type endopeptidase activity [GO:0004197]	GO:0004197; GO:0005615; GO:0005764; GO:0051603
TRINITY_DN3835_c2_g1_i9	113	137	41	1	sp	P89116	CASP1_SPOFR	41.4	278	154	4	253	1074	24	296	9.6e-54	214.2	CASP1_SPOFR	reviewed	Caspase-1 (EC 3.4.22.-) [Cleaved into: Caspase-1 subunit p19/18; Caspase-1 subunit p12]		Spodoptera frugiperda (Fall armyworm)	299	apoptotic process [GO:0006915]		cysteine-type endopeptidase activity [GO:0004197]; apoptotic process [GO:0006915]	cysteine-type endopeptidase activity [GO:0004197]	GO:0004197; GO:0006915
TRINITY_DN2496_c0_g1_i1	0	1	0	2	sp	P78946	RL26_SCHPO	57.9	76	32	0	74	301	1	76	3.7e-16	85.5	RL26_SCHPO	reviewed	60S ribosomal protein L26	rpl26 SPBC29B5.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	126	cytoplasmic translation [GO:0002181]; ribosomal large subunit biogenesis [GO:0042273]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleolus [GO:0005730]; nucleus [GO:0005634]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleolus [GO:0005730]; nucleus [GO:0005634]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; ribosomal large subunit biogenesis [GO:0042273]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005730; GO:0005829; GO:0022625; GO:0042273
TRINITY_DN9803_c0_g1_i1	13	2	1	3	sp	B8AM21	RU2B_ORYSI	40.7	236	115	5	70	735	8	232	5e-37	156.4	RU2B_ORYSI	reviewed	U2 small nuclear ribonucleoprotein B'' (U2 snRNP B'')	OsI_11177	Oryza sativa subsp. indica (Rice)	232	mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	Cajal body [GO:0015030]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; U2 snRNP [GO:0005686]	Cajal body [GO:0015030]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; U2 snRNP [GO:0005686]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	RNA binding [GO:0003723]	GO:0003723; GO:0005654; GO:0005681; GO:0005686; GO:0005737; GO:0006397; GO:0008380; GO:0015030
TRINITY_DN1988_c1_g1_i12	0	4	0	2	sp	P22953	MD37E_ARATH	58.3	551	219	5	532	2160	8	555	1.7e-171	604.7	HS701_ARATH	reviewed	Heat shock 70 kDa protein 1 (Heat shock cognate 70 kDa protein 1) (Heat shock cognate protein 70-1) (AtHsc70-1) (Heat shock protein 70-1) (AtHsp70-1) (Protein EARLY-RESPONSIVE TO DEHYDRATION 2)	HSP70-1 ERD2 HSC70-1 MED37_4 MED37E At5g02500 T22P11.90	Arabidopsis thaliana (Mouse-ear cress)	651	cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; defense response to other organism [GO:0098542]; negative regulation of seed germination [GO:0010187]; protein refolding [GO:0042026]; response to cadmium ion [GO:0046686]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; response to virus [GO:0009615]; stomatal closure [GO:0090332]	apoplast [GO:0048046]; cell wall [GO:0005618]; chloroplast [GO:0009507]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; Golgi apparatus [GO:0005794]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; vacuolar membrane [GO:0005774]	apoplast [GO:0048046]; cell wall [GO:0005618]; chloroplast [GO:0009507]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; Golgi apparatus [GO:0005794]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; vacuolar membrane [GO:0005774]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protease binding [GO:0002020]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; defense response to other organism [GO:0098542]; negative regulation of seed germination [GO:0010187]; protein refolding [GO:0042026]; response to cadmium ion [GO:0046686]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; response to virus [GO:0009615]; stomatal closure [GO:0090332]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protease binding [GO:0002020]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]	GO:0002020; GO:0005524; GO:0005618; GO:0005634; GO:0005730; GO:0005737; GO:0005774; GO:0005794; GO:0005829; GO:0005886; GO:0006986; GO:0009408; GO:0009409; GO:0009506; GO:0009507; GO:0009615; GO:0010187; GO:0016887; GO:0022626; GO:0031072; GO:0034620; GO:0042026; GO:0042742; GO:0044183; GO:0046686; GO:0048046; GO:0050832; GO:0051082; GO:0051085; GO:0051787; GO:0090332; GO:0098542
TRINITY_DN2876_c0_g1_i4	13	53	0	2	sp	Q9CYA6	ZCHC8_MOUSE	39.7	189	104	4	696	1238	222	408	2e-32	142.5	ZCHC8_MOUSE	reviewed	Zinc finger CCHC domain-containing protein 8 (TRAMP-like complex RNA-binding factor ZCCHC8)	Zcchc8	Mus musculus (Mouse)	709	mRNA processing [GO:0006397]; ncRNA processing [GO:0034470]; RNA splicing [GO:0008380]	catalytic step 2 spliceosome [GO:0071013]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; TRAMP complex [GO:0031499]	catalytic step 2 spliceosome [GO:0071013]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; TRAMP complex [GO:0031499]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; mRNA processing [GO:0006397]; ncRNA processing [GO:0034470]; RNA splicing [GO:0008380]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0005634; GO:0005654; GO:0006397; GO:0008270; GO:0008380; GO:0016604; GO:0031499; GO:0034470; GO:0071013
TRINITY_DN6754_c0_g1_i2	3	4	1	1	sp	Q8R3Q2	PP6R2_MOUSE	21.3	470	289	13	210	1562	20	427	1.5e-18	96.7	PP6R2_MOUSE	reviewed	Serine/threonine-protein phosphatase 6 regulatory subunit 2 (SAPS domain family member 2)	Ppp6r2 Kiaa0685 Pp6r2 Saps2	Mus musculus (Mouse)	923	regulation of phosphoprotein phosphatase activity [GO:0043666]	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; protein phosphatase binding [GO:0019903]; protein phosphatase regulator activity [GO:0019888]; regulation of phosphoprotein phosphatase activity [GO:0043666]	protein phosphatase binding [GO:0019903]; protein phosphatase regulator activity [GO:0019888]	GO:0005634; GO:0005829; GO:0019888; GO:0019903; GO:0043231; GO:0043666
TRINITY_DN8012_c0_g1_i2	34	0	17	3	sp	Q8NFA0	UBP32_HUMAN	42.1	1739	784	26	109	5070	1	1601	0	1304.7	UBP32_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 32 (EC 3.4.19.12) (Deubiquitinating enzyme 32) (Renal carcinoma antigen NY-REN-60) (Ubiquitin thioesterase 32) (Ubiquitin-specific-processing protease 32)	USP32 USP10	Homo sapiens (Human)	1604	protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	calcium ion binding [GO:0005509]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]	GO:0004843; GO:0005509; GO:0005794; GO:0005829; GO:0006511; GO:0016020; GO:0016579
TRINITY_DN27659_c0_g1_i1	9	1	0	3	sp	P27484	GRP2_NICSY	56.6	76	32	1	72	299	8	82	3.4e-15	83.6	GRP2_NICSY	reviewed	Glycine-rich protein 2	GRP-2	Nicotiana sylvestris (Wood tobacco) (South American tobacco)	214			RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	GO:0003723; GO:0008270
TRINITY_DN9426_c0_g1_i20	0	293	2	2	sp	Q5PQL3	SPP2B_RAT	39.1	486	273	8	204	1637	22	492	1.7e-75	285.4	SPP2B_RAT	reviewed	Signal peptide peptidase-like 2B (SPP-like 2B) (SPPL2b) (EC 3.4.23.-)	Sppl2b	Rattus norvegicus (Rat)	577	membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; membrane protein proteolysis [GO:0033619]; regulation of immune response [GO:0050776]	actin cytoskeleton [GO:0015629]; centrosome [GO:0005813]; endosome membrane [GO:0010008]; Golgi-associated vesicle membrane [GO:0030660]; Golgi membrane [GO:0000139]; integral component of cytoplasmic side of endoplasmic reticulum membrane [GO:0071458]; integral component of lumenal side of endoplasmic reticulum membrane [GO:0071556]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	actin cytoskeleton [GO:0015629]; centrosome [GO:0005813]; endosome membrane [GO:0010008]; Golgi membrane [GO:0000139]; Golgi-associated vesicle membrane [GO:0030660]; integral component of cytoplasmic side of endoplasmic reticulum membrane [GO:0071458]; integral component of lumenal side of endoplasmic reticulum membrane [GO:0071556]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; aspartic endopeptidase activity, intramembrane cleaving [GO:0042500]; protein homodimerization activity [GO:0042803]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; membrane protein proteolysis [GO:0033619]; regulation of immune response [GO:0050776]	aspartic endopeptidase activity, intramembrane cleaving [GO:0042500]; protein homodimerization activity [GO:0042803]	GO:0000139; GO:0005654; GO:0005765; GO:0005813; GO:0005886; GO:0006509; GO:0010008; GO:0015629; GO:0016020; GO:0030660; GO:0031293; GO:0033619; GO:0042500; GO:0042803; GO:0050776; GO:0071458; GO:0071556
